chi,u
84.87570621468926,15.21582664913307
89.3954802259887,15.21582664913307
93.91525423728812,15.21582664913307
98.43502824858756,15.21582664913307
179.7909604519774,15.21582664913307
247.58757062146893,15.21582664913307
270.1864406779661,15.21582664913307
310.864406779661,15.21582664913307
315.38418079096044,15.21582664913307
315.38418079096044,15.21582664913307
292.7853107344632,15.21582664913307
292.7853107344632,15.21582664913307
292.7853107344632,15.21582664913307
188.83050847457625,15.21582664913307
143.6327683615819,15.21582664913307
125.55367231638418,15.21582664913307
111.99435028248588,15.21582664913307
