eps,u
1288.1355932203387,228.23739973699608
1355.9322033898304,228.23739973699608
1423.728813559322,228.23739973699608
1491.5254237288134,228.23739973699608
2711.864406779661,228.23739973699608
3728.8135593220327,228.23739973699608
4067.7966101694915,228.23739973699608
4677.966101694915,228.23739973699608
4745.762711864406,228.23739973699608
4745.762711864406,228.23739973699608
4406.779661016948,228.23739973699608
4406.779661016948,228.23739973699608
4406.779661016948,228.23739973699608
2847.457627118644,228.23739973699608
2169.4915254237285,228.23739973699608
1898.305084745762,228.23739973699608
1694.9152542372876,228.23739973699608
