T,u
0.0,
21.6,0.816496580927726
25.3,0.816496580927726
28.5,0.816496580927726
33.3,0.816496580927726
38.3,0.816496580927726
43.2,0.816496580927726
48.2,0.816496580927726
52.7,0.816496580927726
58.2,0.816496580927726
63.0,0.816496580927726
68.2,0.816496580927726
73.4,0.816496580927726
78.1,0.816496580927726
83.1,0.816496580927726
88.0,0.816496580927726
92.9,0.816496580927726
98.0,0.816496580927726
102.8,0.816496580927726
107.3,0.816496580927726
112.4,0.816496580927726
117.6,0.816496580927726
122.4,0.816496580927726
127.2,0.816496580927726
132.1,0.816496580927726
137.0,0.816496580927726
142.0,0.816496580927726
147.0,0.816496580927726
151.8,0.816496580927726
156.7,0.816496580927726
161.9,0.816496580927726
166.7,0.816496580927726
171.9,0.816496580927726
176.3,0.816496580927726
